window,h,true,lstm,last_sinr
111,3,6.3217106,7.139384,9.368897
112,1,7.366226,7.336959,6.730286
112,2,6.3217106,7.129408,6.730286
112,3,6.3760147,7.119721,6.730286
113,1,6.3217106,7.28765,7.366226
113,2,6.3760147,7.1563168,7.366226
113,3,8.118594,7.129907,7.366226
114,1,6.3760147,7.2729135,6.3217106
114,2,8.118594,7.178366,6.3217106
114,3,6.1242495,7.168915,6.3217106
115,1,8.118594,7.2775517,6.3760147
115,2,6.1242495,7.2910986,6.3760147
115,3,5.934799,7.2731514,6.3760147
116,1,6.1242495,7.3198113,8.118594
116,2,5.934799,7.389486,8.118594
116,3,4.9867578,7.343483,8.118594
117,1,5.934799,7.347308,6.1242495
117,2,4.9867578,7.3952317,6.1242495
117,3,8.678409,7.354069,6.1242495
118,1,4.9867578,7.3591003,5.934799
118,2,8.678409,7.4018307,5.934799
118,3,8.425645,7.361415,5.934799
119,1,8.678409,7.374576,4.9867578
119,2,8.425645,7.4088273,4.9867578
119,3,8.210738,7.3676257,4.9867578
120,1,8.425645,7.3477616,8.678409
120,2,8.210738,7.426732,8.678409
120,3,6.762627,7.370317,8.678409
121,1,8.210738,7.334703,8.425645
121,2,6.762627,7.422396,8.425645
121,3,9.145065,7.3616786,8.425645
122,1,6.762627,7.337637,8.210738
122,2,9.145065,7.413323,8.210738
122,3,5.1721325,7.357428,8.210738
123,1,9.145065,7.3517923,6.762627
123,2,5.1721325,7.3976603,6.762627
123,3,6.647119,7.3554354,6.762627
124,1,5.1721325,7.3247423,9.145065
124,2,6.647119,7.3966084,9.145065
124,3,8.0387,7.345562,9.145065
125,1,6.647119,7.360307,5.1721325
125,2,8.0387,7.3784966,5.1721325
125,3,7.5790157,7.348116,5.1721325
126,1,8.0387,7.353596,6.647119
126,2,7.5790157,7.389825,6.647119
126,3,7.361959,7.355879,6.647119
127,1,7.5790157,7.338875,8.0387
127,2,7.361959,7.403338,8.0387
127,3,7.657697,7.358219,8.0387
128,1,7.361959,7.338471,7.5790157
128,2,7.657697,7.403036,7.5790157
128,3,5.8617516,7.3562875,7.5790157
129,1,7.657697,7.3412642,7.361959
129,2,5.8617516,7.4000015,7.361959
