window,h,true,lstm,last_sinr
83,3,9.087447,7.4064693,8.916717
84,1,8.620012,7.355256,7.6686406
84,2,9.087447,7.359111,7.6686406
84,3,5.410734,7.39133,7.6686406
85,1,9.087447,7.3463597,8.620012
85,2,5.410734,7.3422356,8.620012
85,3,7.0920253,7.3815985,8.620012
86,1,5.410734,7.3285575,9.087447
86,2,7.0920253,7.3122106,9.087447
86,3,6.165943,7.365975,9.087447
87,1,7.0920253,7.371051,5.410734
87,2,6.165943,7.34218,5.410734
87,3,5.3461514,7.3532495,5.410734
88,1,6.165943,7.3584247,7.0920253
88,2,5.3461514,7.332043,7.0920253
88,3,5.7836113,7.366673,7.0920253
89,1,5.3461514,7.368479,6.165943
89,2,5.7836113,7.3440394,6.165943
89,3,8.346408,7.373516,6.165943
90,1,5.7836113,7.387208,5.3461514
90,2,8.346408,7.3603206,5.3461514
90,3,7.9556828,7.3825693,5.3461514
91,1,8.346408,7.383202,5.7836113
91,2,7.9556828,7.364027,5.7836113
91,3,4.9001007,7.3946576,5.7836113
92,1,7.9556828,7.344377,8.346408
92,2,4.9001007,7.349398,8.346408
92,3,8.128291,7.3997946,8.346408
93,1,4.9001007,7.343062,7.9556828
93,2,8.128291,7.3518596,7.9556828
93,3,6.635829,7.3898964,7.9556828
94,1,8.128291,7.398656,4.9001007
94,2,6.635829,7.3829346,4.9001007
94,3,9.4135895,7.3812146,4.9001007
95,1,6.635829,7.3648877,8.128291
95,2,9.4135895,7.361128,8.128291
95,3,8.023031,7.3931017,8.128291
96,1,9.4135895,7.378915,6.635829
96,2,8.023031,7.369563,6.635829
96,3,8.457768,7.387426,6.635829
97,1,8.023031,7.339053,9.4135895
97,2,8.457768,7.341308,9.4135895
97,3,10.096968,7.3867054,9.4135895
98,1,8.457768,7.3446136,8.023031
98,2,10.096968,7.3357196,8.023031
98,3,9.406612,7.370374,8.023031
99,1,10.096968,7.3336973,8.457768
99,2,9.406612,7.313852,8.457768
99,3,7.722819,7.3603153,8.457768
100,1,9.406612,7.281017,10.096968
100,2,7.722819,7.265091,10.096968
100,3,7.486125,7.341976,10.096968
101,1,7.722819,7.26609,9.406612
101,2,7.486125,7.2351446,9.406612
101,3,7.3103976,7.299346,9.406612
102,1,7.486125,7.2762046,7.722819
102,2,7.3103976,7.2413354,7.722819
102,3,5.0060854,7.230295,7.722819
103,1,7.3103976,7.2610745,7.486125
103,2,5.0060854,7.2494874,7.486125
103,3,8.981854,7.17363,7.486125
104,1,5.0060854,7.243424,7.3103976
104,2,8.981854,7.2482843,7.3103976
104,3,7.901076,7.161417,7.3103976
105,1,8.981854,7.2402015,5.0060854
105,2,7.901076,7.253571,5.0060854
105,3,6.181252,7.1845717,5.0060854
106,1,7.901076,7.218944,8.981854
106,2,6.181252,7.228657,8.981854
106,3,8.729381,7.2071357,8.981854
107,1,6.181252,7.224144,7.901076
107,2,8.729381,7.223707,7.901076
107,3,7.043812,7.211502,7.901076
108,1,8.729381,7.238855,6.181252
108,2,7.043812,7.2309995,6.181252
108,3,9.368897,7.230183,6.181252
109,1,7.043812,7.234832,8.729381
109,2,9.368897,7.217412,8.729381
109,3,6.730286,7.2379694,8.729381
110,1,9.368897,7.241853,7.043812
110,2,6.730286,7.2239656,7.043812
110,3,7.366226,7.23502,7.043812
111,1,6.730286,7.2383633,9.368897
111,2,7.366226,7.218564,9.368897
111,3,6.3217106,7.2395606,9.368897
112,1,7.366226,7.2502503,6.730286
112,2,6.3217106,7.2306886,6.730286
112,3,6.3760147,7.218442,6.730286
113,1,6.3217106,7.259395,7.366226
113,2,6.3760147,7.2330127,7.366226
113,3,8.118594,7.247074,7.366226
114,1,6.3760147,7.263559,6.3217106
114,2,8.118594,7.244529,6.3217106
114,3,6.1242495,7.276716,6.3217106
115,1,8.118594,7.3045254,6.3760147
115,2,6.1242495,7.288473,6.3760147
115,3,5.934799,7.348887,6.3760147
116,1,6.1242495,7.3268948,8.118594
116,2,5.934799,7.3238206,8.118594
116,3,4.9867578,7.379018,8.118594
117,1,5.934799,7.361225,6.1242495
117,2,4.9867578,7.3528605,6.1242495
117,3,8.678409,7.377581,6.1242495
118,1,4.9867578,7.3787155,5.934799
118,2,8.678409,7.3646812,5.934799
118,3,8.425645,7.383984,5.934799
119,1,8.678409,7.397754,4.9867578
119,2,8.425645,7.3775716,4.9867578
119,3,8.210738,7.391488,4.9867578
120,1,8.425645,7.34768,8.678409
120,2,8.210738,7.3532457,8.678409
120,3,6.762627,7.400836,8.678409
121,1,8.210738,7.3376193,8.425645
121,2,6.762627,7.3482466,8.425645
121,3,9.145065,7.3881984,8.425645
122,1,6.762627,7.3450904,8.210738
122,2,9.145065,7.34339,8.210738
122,3,5.1721325,7.3769507,8.210738
123,1,9.145065,7.366584,6.762627
123,2,5.1721325,7.353212,6.762627
123,3,6.647119,7.3699884,6.762627
124,1,5.1721325,7.332789,9.145065
124,2,6.647119,7.317748,9.145065
124,3,8.0387,7.3684726,9.145065
125,1,6.647119,7.378565,5.1721325
125,2,8.0387,7.35579,5.1721325
125,3,7.5790157,7.3613453,5.1721325
126,1,8.0387,7.3741846,6.647119
126,2,7.5790157,7.3512535,6.647119
126,3,7.361959,7.376119,6.647119
127,1,7.5790157,7.3451104,8.0387
127,2,7.361959,7.337844,8.0387
127,3,7.657697,7.3840327,8.0387
128,1,7.361959,7.344837,7.5790157
128,2,7.657697,7.33904,7.5790157
128,3,5.8617516,7.3787103,7.5790157
129,1,7.657697,7.349231,7.361959
129,2,5.8617516,7.3419065,7.361959
129,3,7.0707045,7.375463,7.361959
130,1,5.8617516,7.3467493,7.657697
130,2,7.0707045,7.338189,7.657697
130,3,7.121674,7.3739734,7.657697
131,1,7.0707045,7.3765864,5.8617516
131,2,7.121674,7.3599424,5.8617516
131,3,7.8926296,7.3732367,5.8617516
132,1,7.121674,7.3674903,7.0707045
132,2,7.8926296,7.3548594,7.0707045
132,3,7.7423587,7.383358,7.0707045
133,1,7.8926296,7.363755,7.121674
133,2,7.7423587,7.3554025,7.121674
133,3,6.95175,7.3857236,7.121674
134,1,7.7423587,7.3491955,7.8926296
