window,h,true,lstm,last_sinr
85,2,6.0026317,7.2888827,7.3017974
85,3,8.6358595,7.442302,7.3017974
86,1,6.0026317,7.337807,6.5368342
86,2,8.6358595,7.22934,6.5368342
86,3,9.04294,7.341366,6.5368342
87,1,8.6358595,7.312543,6.0026317
87,2,9.04294,7.1972322,6.0026317
87,3,4.324559,7.28839,6.0026317
88,1,9.04294,7.2045746,8.6358595
88,2,4.324559,7.291621,8.6358595
88,3,0.8908818,7.219569,8.6358595
89,1,4.324559,7.280966,9.04294
89,2,0.8908818,7.341451,9.04294
89,3,6.4489293,7.3099937,9.04294
90,1,0.8908818,7.2169814,4.324559
90,2,6.4489293,7.033516,4.324559
90,3,6.3062506,7.0619884,4.324559
91,1,6.4489293,7.312108,0.8908818
91,2,6.3062506,7.317802,0.8908818
91,3,8.916717,7.0131845,0.8908818
92,1,6.3062506,7.7411127,6.4489293
92,2,8.916717,7.522213,6.4489293
92,3,7.6686406,7.7157774,6.4489293
93,1,8.916717,7.427683,6.3062506
93,2,7.6686406,7.314099,6.3062506
93,3,8.620012,7.43658,6.3062506
94,1,7.6686406,7.2519674,8.916717
94,2,8.620012,7.3223124,8.916717
94,3,9.087447,7.2259727,8.916717
95,1,8.620012,7.3558354,7.6686406
95,2,9.087447,7.26571,7.6686406
95,3,5.410734,7.295236,7.6686406
96,1,9.087447,7.23032,8.620012
96,2,5.410734,7.2478623,8.620012
96,3,7.0920253,7.2202263,8.620012
97,1,5.410734,7.3063946,9.087447
97,2,7.0920253,7.3305845,9.087447
97,3,6.165943,7.333124,9.087447
98,1,7.0920253,7.2369065,5.410734
98,2,6.165943,7.1143775,5.410734
98,3,5.3461514,7.1133337,5.410734
99,1,6.165943,7.294506,7.0920253
99,2,5.3461514,7.233562,7.0920253
99,3,5.7836113,7.277768,7.0920253
100,1,5.3461514,7.3235326,6.165943
100,2,5.7836113,7.237613,6.165943
100,3,8.346408,7.27928,6.165943
101,1,5.7836113,7.312098,5.3461514
101,2,8.346408,7.1899123,5.3461514
101,3,7.9556828,7.254166,5.3461514
102,1,8.346408,7.3110447,5.7836113
102,2,7.9556828,7.1980233,5.7836113
102,3,4.9001007,7.271458,5.7836113
103,1,7.9556828,7.1793923,8.346408
103,2,4.9001007,7.2874184,8.346408
103,3,8.128291,7.197093,8.346408
104,1,4.9001007,7.286087,7.9556828
104,2,8.128291,7.2713428,7.9556828
104,3,6.635829,7.247713,7.9556828
105,1,8.128291,7.242351,4.9001007
105,2,6.635829,7.0900903,4.9001007
105,3,9.4135895,7.133264,4.9001007
106,1,6.635829,7.224962,8.128291
106,2,9.4135895,7.2450953,8.128291
106,3,8.023031,7.234683,8.128291
107,1,9.4135895,7.3113914,6.635829
107,2,8.023031,7.238699,6.635829
107,3,8.457768,7.271465,6.635829
108,1,8.023031,7.2621665,9.4135895
108,2,8.457768,7.3921175,9.4135895
108,3,10.096968,7.374918,9.4135895
109,1,8.457768,7.3504767,8.023031
109,2,10.096968,7.267491,8.023031
109,3,9.406612,7.2759733,8.023031
110,1,10.096968,7.2423096,8.457768
110,2,9.406612,7.2178392,8.457768
110,3,7.722819,7.2187533,8.457768
111,1,9.406612,6.9622946,10.096968
111,2,7.722819,7.2508707,10.096968
111,3,7.486125,7.1311193,10.096968
112,1,7.722819,7.3825703,9.406612
112,2,7.486125,7.3583803,9.406612
112,3,7.3103976,7.411954,9.406612
113,1,7.486125,7.2847238,7.722819
113,2,7.3103976,7.1694355,7.722819
113,3,5.0060854,7.177479,7.722819
114,1,7.3103976,7.25849,7.486125
114,2,5.0060854,7.1819143,7.486125
114,3,8.981854,7.198941,7.486125
115,1,5.0060854,7.274224,7.3103976
115,2,8.981854,7.2177544,7.3103976
115,3,7.901076,7.2391953,7.3103976
116,1,8.981854,7.2785206,5.0060854
116,2,7.901076,7.147413,5.0060854
116,3,6.181252,7.1872206,5.0060854
117,1,7.901076,7.2306714,8.981854
117,2,6.181252,7.3467355,8.981854
117,3,8.729381,7.297943,8.981854
118,1,6.181252,7.289114,7.901076
118,2,8.729381,7.2277613,7.901076
118,3,7.043812,7.2414093,7.901076
119,1,8.729381,7.273512,6.181252
119,2,7.043812,7.182698,6.181252
119,3,9.368897,7.2042184,6.181252
120,1,7.043812,7.2232,8.729381
120,2,9.368897,7.2840033,8.729381
120,3,6.730286,7.236622,8.729381
121,1,9.368897,7.315606,7.043812
121,2,6.730286,7.2322397,7.043812
121,3,7.366226,7.254761,7.043812
122,1,6.730286,7.2628183,9.368897
122,2,7.366226,7.3631706,9.368897
122,3,6.3217106,7.366355,9.368897
123,1,7.366226,7.325238,6.730286
123,2,6.3217106,7.20734,6.730286
123,3,6.3760147,7.2237887,6.730286
124,1,6.3217106,7.265947,7.366226
124,2,6.3760147,7.209962,7.366226
124,3,8.118594,7.2346773,7.366226
125,1,6.3760147,7.3025117,6.3217106
125,2,8.118594,7.225604,6.3217106
125,3,6.1242495,7.2507257,6.3217106
126,1,8.118594,7.301683,6.3760147
126,2,6.1242495,7.2285366,6.3760147
126,3,5.934799,7.2672873,6.3760147
127,1,6.1242495,7.1981053,8.118594
127,2,5.934799,7.2563257,8.118594
127,3,4.9867578,7.202372,8.118594
128,1,5.934799,7.3244762,6.1242495
128,2,4.9867578,7.2310586,6.1242495
